ID,Candidate,Constituency ∇,Party,Criminal Case,Total Assets,Liabilities,state,Education
500,Joydeb Halder,MANDIRBAZAR (SC),AITC,2,35 Lac+,0,WEST BENGAL,10th Pass
501,Pankaj Gupta,UNNAO,BJP,6,6 Crore+,69 Lac+,UTTAR PRADESH,Graduate
502,Dr. Darshita Shah,RAJKOT WEST,BJP,0,10 Crore+,90 Lac+,GUJARAT,Post Graduate
503,Fauja Singh,GURU HAR SAHAI,AAP,0,0,6 Lac+,PUNJAB,Post Graduate
504,Satish Malviya,GHATIYA (SC),BJP,1,3 Crore+,11 Lac+,MADHYA PRADESH,Graduate
505,Samsul Haque,BOXANAGAR,CPI(M),1,58 Lac+,0,TRIPURA,10th Pass
506,Suresh Singh,PUSHKAR,BJP,0,0,0,RAJASTHAN,Graduate Professional
507,Alemao Yuri,CUNCOLIM,INC,0,30 Crore+,0,GOA,Others
508,Rajinder Singh Joon,BAHADURGARH,INC,0,0,10 Lac+,HARYANA,Graduate
509,Seema Trikha,BADHKAL,BJP,0,2 Crore+,18 Lac+,HARYANA,Graduate Professional
510,Ratan Chakraborty,KHAYERPUR,BJP,0,3 Crore+,0,TRIPURA,Graduate
511,Ramakrishna Babu Velagapudi,VISAKHAPATNAM EAST,TDP,0,17 Crore+,1 Crore+,ANDHRA PRADESH,Graduate
512,Jitubhai Harjibhai Chaudhari,KAPRADA (ST),BJP,1,1 Crore+,4 Lac+,GUJARAT,8th Pass
513,Amritlal Meena,SALUMBER (ST),BJP,1,2 Crore+,7 Lac+,RAJASTHAN,Post Graduate
514,Hari Narayan Singh,HARNAUT,JD(U),0,3 Crore+,0,BIHAR,Graduate
515,Mukesh Kumar Raushan,MAHUA,RJD,4,9 Crore+,3 Crore+,BIHAR,Graduate Professional
516,Lalita Yadav,CHHATARPUR,BJP,0,2 Crore+,0,MADHYA PRADESH,Graduate
517,Senthil Kumar I.P,PALANI,DMK,14,8 Crore+,76 Lac+,TAMIL NADU,Post Graduate
518,Nrusingha Charan Sahu,PARJANGA,BJD,2,2 Crore+,37 Lac+,ODISHA,Graduate Professional
519,Sanasam Premchandra Singh,KUMBI,BJP,0,1 Crore+,0,MANIPUR,12th Pass
520,Sanjay Kumar,BASERI (SC),INC,0,64 Lac+,0,RAJASTHAN,Graduate Professional
521,Mani C Kappen,PALA,IND,12,27 Crore+,4 Crore+,KERALA,12th Pass
522,Ashok Kirtania,BANGAON UTTAR (SC),BJP,0,2 Crore+,37 Lac+,WEST BENGAL,Graduate
523,Dr. Budhan Murmu,SARASKANA,BJP,0,29 Lac+,0,ODISHA,Graduate Professional
524,Rajendra Dholakia,NUAPADA,BJD,1,1 Crore+,6 Lac+,ODISHA,Graduate
525,Prince J G,COLACHAL,INC,73,68 Lac+,0,TAMIL NADU,Post Graduate
526,Hasanuzzaman Sk,BELDANGA,AITC,4,2 Crore+,8 Lac+,WEST BENGAL,12th Pass
527,Dibakar Gharami,SONAMUKHI (SC),BJP,0,4 Lac+,0,WEST BENGAL,8th Pass
528,Jummum Ete Deori,LEKANG,BJP,0,2 Crore+,16 Lac+,ARUNACHAL PRADESH,12th Pass
529,Gordhan,DHOD (SC),BJP,0,57 Lac+,5 Lac+,RAJASTHAN,Post Graduate
530,Dr. Sudipto Roy,SREERAMPUR,AITC,0,9 Crore+,12 Lac+,WEST BENGAL,Post Graduate
531,Gopala Krishna Beluru,SAGAR,INC,0,4 Crore+,0,KARNATAKA,12th Pass
532,Kunwar Sushant Singh,BARHAPUR,BJP,0,6 Crore+,3 Lac+,UTTAR PRADESH,Graduate
533,Anoop Singh Alias Anoop Pradhan Valmeeki,KHAIR (SC),BJP,0,92 Lac+,20 Lac+,UTTAR PRADESH,10th Pass
534,Mushrif Hasan Miyalal,KAGAL,NCP,3,10 Crore+,96 Lac+,MAHARASHTRA,Graduate
535,Swati Khandoker,CHANDITALA,AITC,0,60 Lac+,10 Lac+,WEST BENGAL,12th Pass
536,Mamata Bhunia,DASPUR,AITC,0,5 Lac+,0,WEST BENGAL,10th Pass
537,Rana Gurjeet Singh,KAPURTHALA,INC,1,0,71 Crore+,PUNJAB,10th Pass
538,Chandar Singh Sisodiya,GAROTH,BJP,1,4 Crore+,6 Lac+,MADHYA PRADESH,Graduate
539,Harakali Protiher,KATULPUR (SC),BJP,0,66 Lac+,35 Lac+,WEST BENGAL,Post Graduate
540,Gopal Singh Rana,NANAKMATTA (ST),INC,0,3 Crore+,45 Lac+,UTTARAKHAND,Graduate Professional
541,Adv.T Siddiqu,KALPETTA,INC,14,1 Crore+,69 Lac+,KERALA,Graduate Professional
542,Pradipta Kumar Naik,BHAWANIPATNA,BJP,0,3 Crore+,0,ODISHA,Post Graduate
543,H T Manju,KRISHNARAJPET,JD(S),2,70 Crore+,4 Crore+,KARNATAKA,Graduate
544,K Venkatesh,PIRIYAPATNA,INC,0,18 Crore+,7 Crore+,KARNATAKA,Graduate
545,Parshottambhai O. Solanki,BHAVNAGAR RURAL,BJP,3,53 Crore+,8 Crore+,GUJARAT,Others
546,Rupinder Singh,BASSI PATHANA (SC),AAP,2,0,3 Lac+,PUNJAB,Post Graduate
547,Yogeshbhai Narandas Patel,MANJALPUR,BJP,0,33 Crore+,0,GUJARAT,10th Pass
548,Shyam Sunder,BACHHRAWAN (SC),SP,1,64 Lac+,0,UTTAR PRADESH,10th Pass
549,Prakashbhai Parsotambhai Varmora,DHRANGADHRA,BJP,0,31 Crore+,7 Crore+,GUJARAT,10th Pass
550,Santosh S Lad,KALAGHATGI,INC,8,138 Crore+,24 Crore+,KARNATAKA,Graduate
551,Debesh Acharya,BARGARH,BJD,2,3 Crore+,57 Lac+,ODISHA,Graduate Professional
552,Satyendra Nath Ray,GANGARAMPUR (SC),BJP,0,56 Lac+,0,WEST BENGAL,10th Pass
553,Mukesh Mahaling,LOISINGHA,BJP,0,1 Crore+,26 Lac+,ODISHA,Doctorate
554,Kaushik Roy,MAYNAGURI (SC),BJP,4,42 Lac+,3 Lac+,WEST BENGAL,12th Pass
555,Manoranjan Talukdar,SORBHOG,CPI(M),0,1 Crore+,0,ASSAM,Graduate
556,Dhavalsinh Narendrasinh Zala,BAYAD,IND,1,16 Crore+,2 Crore+,GUJARAT,Post Graduate
557,Phate Bahadur Singh,DEHRI,RJD,1,14 Crore+,3 Crore+,BIHAR,10th Pass
558,Bhupinder Singh Joon,BIJWASAN,AAP,0,5 Crore+,14 Lac+,DELHI,Graduate Professional
559,Vijay Kumar Khemka,PURNIA,BJP,1,3 Crore+,0,BIHAR,12th Pass
560,Bhanwarsingh Shekhawat (Babu Ji),BADNAWAR,INC,1,5 Crore+,0,MADHYA PRADESH,Post Graduate
561,Ramkrishna Bhargava,MISRIKH (SC),BJP,0,2 Crore+,0,UTTAR PRADESH,12th Pass
562,Wazed Ali Choudhury,SALMARA SOUTH,INC,1,11 Crore+,95 Lac+,ASSAM,Graduate
563,Fateh Bahadur,CAIMPIYARGANJ,BJP,0,9 Crore+,1 Crore+,UTTAR PRADESH,Post Graduate
564,Bunty Bhangdiya,CHIMUR,BJP,1,92 Crore+,18 Crore+,MAHARASHTRA,12th Pass
565,Dasarathi Gomango,MOHANA,INC,1,57 Lac+,3 Lac+,ODISHA,10th Pass
566,Bhupendra Singh,KHURAI,BJP,0,0,23 Crore+,MADHYA PRADESH,Graduate Professional
567,Rajendra,MAHUWA,BJP,0,2 Crore+,75 Lac+,RAJASTHAN,Graduate
568,Raghurami Reddy Settipally,MYDUKUR,YSRCP,4,5 Crore+,18 Lac+,ANDHRA PRADESH,10th Pass
569,Rajinder Pal Kaur,LUDHIANA SOUTH,AAP,1,90 Lac+,22 Lac+,PUNJAB,Graduate
570,Kuljit Singh Randhawa,DERA BASSI,AAP,1,7 Crore+,41 Lac+,PUNJAB,Graduate
571,"Annadurai, K.",PATTUKKOTTAI,DMK,6,1 Crore+,11 Lac+,TAMIL NADU,Graduate Professional
572,Virendra Chaudhary,PHARENDA,INC,2,5 Crore+,0,UTTAR PRADESH,Graduate Professional
573,Mohammed Nawaz Basha,MADANAPALLE,YSRCP,1,9 Crore+,95 Lac+,ANDHRA PRADESH,8th Pass
574,Karam Shyam,LANGTHABAL,BJP,1,2 Crore+,66 Lac+,MANIPUR,Graduate Professional
575,Udhheshwari Paikra,SAMRI (ST),BJP,1,1 Crore+,41 Lac+,CHHATTISGARH,12th Pass
576,Mukeshbhai Zinabhai Patel,OLPAD,BJP,0,4 Crore+,1 Crore+,GUJARAT,12th Pass
577,Yashpal,UDUPI,BJP,1,6 Crore+,2 Crore+,KARNATAKA,12th Pass
578,Amin Patel,MUMBADEVI,INC,2,44 Crore+,8 Crore+,MAHARASHTRA,10th Pass
579,Haji Hussain Ansari,MADHUPUR,JMM,0,7 Crore+,0,JHARKHAND,12th Pass
580,Neeraj Sharma,FARIDABAD NIT,INC,0,10 Crore+,1 Crore+,HARYANA,Graduate
581,Paramananda Rajbongshi,SIPAJHAR,BJP,1,50 Lac+,16 Lac+,ASSAM,Doctorate
582,Sampat Agrawal,BASNA,BJP,0,11 Crore+,0,CHHATTISGARH,Post Graduate
583,Vijaykumar Krushnarao Gavit,NANDURBAR (ST),BJP,9,27 Crore+,1 Crore+,MAHARASHTRA,Post Graduate
584,Bhupendrabhai Rajnikant Patel,GHATLODIA,BJP,0,8 Crore+,1 Crore+,GUJARAT,12th Pass
585,Dr. Banwari Lal,BAWAL (SC),BJP,0,2 Crore+,10 Lac+,HARYANA,Graduate Professional
586,Palaniyandi.M,SRIRANGAM,DMK,7,9 Crore+,6 Crore+,TAMIL NADU,8th Pass
587,A.Maharajan,ANDIPATTI,DMK,4,15 Crore+,94 Lac+,TAMIL NADU,8th Pass
588,Vishvas Sarang,NARELA,BJP,0,18 Crore+,5 Crore+,MADHYA PRADESH,Graduate Professional
589,Yogendrasinh Parmar (Bakabhai),THASRA,BJP,1,11 Crore+,91 Lac+,GUJARAT,Graduate
590,Ss. Olish,CHANDEL (ST),BJP,0,95 Lac+,0,MANIPUR,Graduate
591,Smt Jhuma Solanki,BHIKANGAON (ST),INC,0,7 Crore+,76 Lac+,MADHYA PRADESH,Post Graduate
592,Dr. Rajendra Kumar Singh,AMARPATAN,INC,1,44 Crore+,89 Lac+,MADHYA PRADESH,Doctorate
593,Bimal Borah,TINGKHONG,BJP,0,1 Crore+,12 Lac+,ASSAM,Graduate
594,Dr. Ramanuj Prasad,SONEPUR,RJD,4,1 Crore+,1 Lac+,BIHAR,Doctorate
595,Amrutji Motiji Thakor,KANKREJ,INC,0,3 Crore+,18 Lac+,GUJARAT,12th Pass
596,Darshan Dhruvanarayana,NANJANGUD (SC),INC,1,4 Crore+,0,KARNATAKA,Post Graduate
597,Dilip Mangalu Borse,BAGLAN (ST),BJP,0,3 Crore+,3 Crore+,MAHARASHTRA,Graduate
598,Bhupesh Baghel,PATAN,INC,1,33 Crore+,28 Lac+,CHHATTISGARH,Post Graduate
599,Awdhesh Singh,HAJIPUR,BJP,0,4 Crore+,7 Lac+,BIHAR,12th Pass
600,N. Jacob Zhimomi,GHASPANI-I (ST),BJP,0,10 Crore+,0,NAGALAND,Graduate
601,Hakam Ali Khan,FATEHPUR,INC,0,1 Crore+,26 Lac+,RAJASTHAN,12th Pass
602,Ashu Malik,SAHARANPUR,SP,0,2 Crore+,65 Lac+,UTTAR PRADESH,10th Pass
603,Nandita Chowdhury,HOWRAH DAKSHIN,AITC,0,15 Crore+,14 Lac+,WEST BENGAL,12th Pass
604,Mahendra Pal Singh,PIPRAICH,BJP,0,0,1 Crore+,UTTAR PRADESH,Graduate
605,Jitendra Kantilal Somani,WANKANER,BJP,1,3 Crore+,0,GUJARAT,5th Pass
606,Thammineni Seetharam,AMADALAVALASA,YSRCP,1,9 Crore+,0,ANDHRA PRADESH,12th Pass
607,Mukta Shailesh Tilak,KASBA PETH,BJP,2,0,21 Crore+,MAHARASHTRA,Graduate
608,Puran Chand,DARANG,BJP,0,1 Crore+,0,HIMACHAL PRADESH,10th Pass
609,Ramesh Kondiram Latke,ANDHERI EAST,SHS,0,4 Crore+,1 Crore+,MAHARASHTRA,10th Pass
610,Ahmed Javed Khan,KASBA,AITC,1,32 Crore+,41 Crore+,WEST BENGAL,Graduate
611,Pravinbhai Manjibhai Ghoghari,KARANJ,BJP,1,2 Crore+,54 Lac+,GUJARAT,12th Pass
612,Pardeep Chaudhary,KALKA,INC,1,15 Crore+,91 Lac+,HARYANA,Graduate
613,Jagdishbhai Prabhubhai Makwana,WADHWAN,BJP,0,1 Crore+,14 Lac+,GUJARAT,Graduate
614,Sidharth Nath Singh,ALLAHABAD WEST,BJP,0,32 Crore+,7 Crore+,UTTAR PRADESH,Graduate
615,Dr. Suresh (Bhau) Dagadu Khade,MIRAJ (SC),BJP,3,4 Crore+,0,MAHARASHTRA,Doctorate
616,Pawan Kumar Yadav,KAHALGAON,BJP,5,3 Crore+,27 Lac+,BIHAR,12th Pass
617,Vishwas Vasant Vaidya,SAUNDATTI YELLAMMA,INC,1,4 Crore+,1 Crore+,KARNATAKA,Graduate
618,Senthilkumar.M,KALLAKURICHI (SC),AIADMK,0,0,10 Lac+,TAMIL NADU,12th Pass
619,Ashok Chandra Panda,EKAMRA-BHUBANESWAR,BJD,0,0,10 Lac+,ODISHA,Post Graduate
620,Kanathil Jameela,QUILANDY,CPI(M),1,1 Crore+,0,KERALA,10th Pass
621,Chinmoy Deb Barman,GAZOLE (SC),BJP,1,49 Lac+,1 Lac+,WEST BENGAL,Post Graduate
622,Thakur Das Nagwanshi,PIPARIYA (SC),BJP,0,1 Crore+,5 Lac+,MADHYA PRADESH,10th Pass
623,Manab Deka,LAKHIMPUR,BJP,2,5 Crore+,2 Crore+,ASSAM,Graduate
624,Kumar Krishna Mohan Alias Suday Yadav,JEHANABAD,RJD,0,1 Crore+,0,BIHAR,Doctorate
625,Uttari Jangde,SARANGARH (SC),INC,0,1 Crore+,0,CHHATTISGARH,12th Pass
626,P.P.Sumod,TARUR,CPI(M),5,9 Lac+,3 Lac+,KERALA,Post Graduate
627,Rajendrasinh Mohansinh Rathva,CHHOTA UDAIPUR (ST),BJP,0,4 Crore+,18 Lac+,GUJARAT,12th Pass
628,Savitri Manoj Mandavi,BHANUPRATAPPUR (ST),INC,0,6 Crore+,1 Crore+,CHHATTISGARH,Graduate
629,Ramesh Parambath,MAHE,INC,0,6 Crore+,10 Lac+,PUDUCHERRY,Graduate
630,Pratap Puri,POKARAN,BJP,0,3 Crore+,0,RAJASTHAN,10th Pass
631,Rajkumar Pori,PAURI (SC),BJP,0,25 Lac+,11 Lac+,UTTARAKHAND,Graduate
632,Neiphiu Rio,NORTHERN ANGAMI-II (ST),NDPP,0,46 Crore+,8 Lac+,NAGALAND,Graduate
633,S Manjunatha,SAKALESHPUR (SC),BJP,0,0,1 Crore+,KARNATAKA,10th Pass
634,Anna Rambabu,GIDDALUR,YSRCP,0,42 Crore+,6 Crore+,ANDHRA PRADESH,Graduate
635,Chiranjeev Rao,REWARI,INC,0,10 Crore+,33 Lac+,HARYANA,12th Pass
636,Rajaa T R B,MANNARGUDI,DMK,2,41 Crore+,13 Crore+,TAMIL NADU,Post Graduate
637,Kolusu Partha Sarathy,PENAMALURU,YSRCP,9,0,82 Lac+,ANDHRA PRADESH,12th Pass
638,Naba Charan Majhi,RAIRANGPUR,BJP,1,22 Lac+,0,ODISHA,Graduate
639,K. Gopalaiah,MAHALAKSHMI LAYOUT,BJP,0,110 Crore+,62 Crore+,KARNATAKA,Graduate
640,Uma Sankara Ganesh Petla,NARSIPATNAM,YSRCP,2,66 Lac+,7 Lac+,ANDHRA PRADESH,Graduate
641,Tapas Banerjee,RANIGANJ,AITC,7,0,0,WEST BENGAL,Graduate Professional
642,Ganesh Chandra Mondal,KULTALI (SC),AITC,0,6 Crore+,1 Crore+,WEST BENGAL,Graduate
643,Bharat Singh Chaudhary,RUDRAPRAYAG,BJP,0,2 Crore+,50 Lac+,UTTARAKHAND,Graduate
644,Taranga Gogoi,NAHARKATIA,BJP,0,1 Crore+,0,ASSAM,12th Pass
645,K.P.Shankar,THIRUVOTTIYUR,DMK,2,4 Crore+,82 Lac+,TAMIL NADU,8th Pass
646,Debabrata Majumdar (Malay),JADAVPUR,AITC,0,1 Crore+,0,WEST BENGAL,Graduate Professional
647,Md Kamran,GOBINDPUR,RJD,0,5 Crore+,0,BIHAR,12th Pass
648,Vinod Chaturvedi,KALPI,SP,0,3 Crore+,9 Lac+,UTTAR PRADESH,Post Graduate
649,Yadvinder Goma,JAISINGHPUR (SC),INC,0,2 Crore+,65 Lac+,HIMACHAL PRADESH,Post Graduate
650,Ratan Lal Nath,MOHANPUR,BJP,1,2 Crore+,19 Lac+,TRIPURA,Graduate Professional
651,Ashok Kumar,SALON (SC),BJP,0,65 Lac+,5 Lac+,UTTAR PRADESH,Post Graduate
652,Rohit Pawar,KARJAT JAMKHED,NCP,0,59 Crore+,3 Crore+,MAHARASHTRA,Graduate Professional
653,K Adimulam,SATYAVEDU,YSRCP,0,0,1 Lac+,ANDHRA PRADESH,Graduate
654,Sampathkumar.V,HARUR (SC),AIADMK,0,70 Lac+,14 Lac+,TAMIL NADU,Graduate Professional
655,Sukh Ram,PAONTA SAHIB,BJP,0,2 Crore+,85 Lac+,HIMACHAL PRADESH,12th Pass
656,Deshmukh Vijaykumar Sidramappa,SOLAPUR CITY NORTH,BJP,0,13 Crore+,0,MAHARASHTRA,Graduate
657,K.C.Veerendra Puppy,CHITRADURGA,INC,2,134 Crore+,19 Crore+,KARNATAKA,Graduate
658,Rajesh Kumar Singh,HATHUA,RJD,3,1 Crore+,1 Lac+,BIHAR,12th Pass
659,Subrat Tarai,RAGHUNATHPALI,BJD,2,36 Lac+,0,ODISHA,Post Graduate
660,Tusharkanti Behera,KAKATPUR,BJD,0,24 Lac+,3 Thou+,ODISHA,Post Graduate
661,Sunil Kumar Sharma,SAHIBABAD,BJP,0,1 Crore+,15 Lac+,UTTAR PRADESH,Post Graduate
662,Laxmi Narayan,CHHATA,BJP,0,0,29 Lac+,UTTAR PRADESH,Post Graduate
663,Pradyuman Ganubhai Vaja,KODINAR (SC),BJP,0,5 Crore+,0,GUJARAT,Post Graduate
664,Ramesh Gajanan Korgaonkar,BHANDUP WEST,SHS,3,0,98 Lac+,MAHARASHTRA,8th Pass
665,Sukhveer Singh Maiserkhana,MAUR,AAP,4,92 Lac+,0,PUNJAB,12th Pass
666,Usha Babu Singh Thakur,DR.AMBEDKAR NAGAR -MHOW,BJP,0,58 Lac+,82 Thou+,MADHYA PRADESH,Post Graduate
667,Vanathi Srinivasan,COIMBATORE SOUTH,BJP,2,9 Crore+,59 Lac+,TAMIL NADU,Post Graduate
668,Patni Rajendra Sukhanand,KARANJA,BJP,2,10 Crore+,4 Crore+,MAHARASHTRA,Graduate
669,Vinod Bhiva Nikole,DAHANU (ST),CPI(M),6,51 Thou+,0,MAHARASHTRA,12th Pass
670,Mangelal Meena,RAJGARH-LAXMANGARH (ST),INC,0,3 Crore+,31 Lac+,RAJASTHAN,Graduate Professional
671,Rajendra Shukla,REWA,BJP,0,30 Crore+,1 Crore+,MADHYA PRADESH,Graduate Professional
672,Abdus Sobahan Ali Sarkar,GOLAKGANJ,INC,1,12 Lac+,2 Lac+,ASSAM,Graduate
673,Jikke Tako,TALI,JD(U),0,2 Crore+,0,ARUNACHAL PRADESH,Post Graduate
674,Prafulla Samal,BHANDARIPOKHARI,BJD,0,1 Crore+,1 Lac+,ODISHA,Graduate Professional
675,Gian Chand Gupta,PANCHKULA,BJP,0,12 Crore+,33 Lac+,HARYANA,12th Pass
676,R.S. Bali,NAGROTA,INC,3,92 Crore+,6 Crore+,HIMACHAL PRADESH,Graduate Professional
677,Dr. Thakor Sukhaji Somaji,BECHARAJI,BJP,0,33 Lac+,3 Lac+,GUJARAT,Graduate
678,Balbir Singh Verma,CHOPAL,BJP,0,128 Crore+,2 Crore+,HIMACHAL PRADESH,12th Pass
679,Harshvardhan Bajpai,ALLAHABAD NORTH,BJP,2,8 Crore+,53 Lac+,UTTAR PRADESH,Graduate Professional
680,Deshpande Raghunath,HALIYAL,INC,1,363 Crore+,14 Crore+,KARNATAKA,Graduate Professional
681,Binay Bhushan Das,PANISAGAR,BJP,0,2 Crore+,39 Lac+,TRIPURA,Graduate Professional
682,Nara Chandrababu Naidu,KUPPAM,TDP,1,668 Crore+,15 Crore+,ANDHRA PRADESH,Post Graduate
683,Nyamar Karbak,LIROMOBA,BJP,0,1 Crore+,0,ARUNACHAL PRADESH,Post Graduate
684,Katasani Rami Reddy,BANAGANAPALLE,YSRCP,0,17 Crore+,2 Crore+,ANDHRA PRADESH,Graduate
685,Subrata Maitra (Kanchan),BAHARAMPUR,BJP,6,50 Lac+,0,WEST BENGAL,Graduate
686,Murthy.R.Idream,ROYAPURAM,DMK,0,112 Crore+,26 Crore+,TAMIL NADU,10th Pass
687,Jayveer Singh,MAINPURI,BJP,0,17 Crore+,0,UTTAR PRADESH,12th Pass
688,Narendra Narayan Yadav,ALAMNAGAR,JD(U),1,2 Crore+,84 Thou+,BIHAR,Graduate
689,Anil Kumar,BATHNAHA (SC),BJP,0,11 Lac+,0,BIHAR,Graduate Professional
690,Jaivardhan Singh,RAGHOGARH,INC,1,64 Crore+,4 Crore+,MADHYA PRADESH,Post Graduate
691,Shyam Prakash,GOPAMAU (SC),BJP,0,2 Crore+,4 Crore+,UTTAR PRADESH,Graduate
692,Nitesh Narayan Rane,KANKAVLI,BJP,8,14 Crore+,6 Crore+,MAHARASHTRA,Post Graduate
693,Tajmul Hossain,HARISCHANDRAPUR,AITC,0,68 Lac+,0,WEST BENGAL,12th Pass
694,Ramesh Jaiswal,MUGHALSARAI,BJP,2,2 Crore+,6 Lac+,UTTAR PRADESH,Graduate Professional
695,Sudhir Singla,GURGAON,BJP,0,0,0,HARYANA,Graduate Professional
696,Sniawbhalang Dhar,NARTIANG (ST),NPP,0,45 Crore+,3 Crore+,MEGHALAYA,12th Pass
697,Rana Inder Partap Singh,SULTANPUR LODHI,IND,0,69 Crore+,17 Crore+,PUNJAB,Post Graduate
698,Chaitanya Sharma,GAGRET,INC,0,8 Crore+,52 Lac+,HIMACHAL PRADESH,Graduate Professional
699,Susanta Ghosh,KHANAKUL,BJP,2,35 Lac+,1 Lac+,WEST BENGAL,10th Pass
700,Arvind Pateriya,RAJNAGAR,BJP,3,1 Crore+,0,MADHYA PRADESH,Graduate
701,Pachpute Babanrao Bhikaji,SHRIGONDA,BJP,27,8 Crore+,1 Crore+,MAHARASHTRA,Graduate
702,Alok Kumar Mehta,UJIARPUR,RJD,3,7 Crore+,52 Lac+,BIHAR,Graduate Professional
703,Bijaylaxmi Gautam,SALEMPUR (SC),BJP,1,88 Lac+,0,UTTAR PRADESH,Post Graduate
704,Chinthala Ramaachandra Reddy,PILERU,YSRCP,0,3 Crore+,1 Lac+,ANDHRA PRADESH,Graduate
705,Uttam Barik,PATASHPUR,AITC,4,43 Lac+,0,WEST BENGAL,12th Pass
706,Gautambhai Chauhan,TALAJA,BJP,0,40 Lac+,0,GUJARAT,10th Pass
707,Sangram Singh,PHEPHANA,SP,2,3 Crore+,32 Lac+,UTTAR PRADESH,Graduate Professional
708,Rana Randhir,MADHUBAN,BJP,0,3 Crore+,0,BIHAR,Graduate Professional
709,S.Aravindramesh,SHOLINGANALLUR,DMK,22,28 Crore+,3 Crore+,TAMIL NADU,8th Pass
710,Shanker Singh Rawat,BEAWAR,BJP,0,3 Crore+,30 Lac+,RAJASTHAN,Graduate
711,Brijbihari Pateriya (Gudda Bhaiya),DEORI,BJP,0,6 Crore+,20 Lac+,MADHYA PRADESH,12th Pass
712,Sachin Subhashchandra Yadav,KASRAWAD,INC,0,38 Crore+,8 Crore+,MADHYA PRADESH,Graduate
713,Shailesh Manubhai Parmar,DANILIMDA (SC),INC,2,32 Crore+,0,GUJARAT,Graduate Professional
714,Premshankar Verma,SEONI-MALWA,BJP,2,7 Crore+,21 Lac+,MADHYA PRADESH,Graduate
715,Biswa Bandhu Sen,DHARMANAGAR,BJP,0,9 Crore+,11 Lac+,TRIPURA,Graduate
716,Prasanta Behera,SALIPUR,BJD,0,62 Lac+,2 Lac+,ODISHA,Graduate
717,Dharmpal,KHETRI,BJP,0,1 Crore+,0,RAJASTHAN,Graduate Professional
718,Bidhan Chandra Majhi,NANOOR (SC),AITC,0,18 Lac+,23 Lac+,WEST BENGAL,Post Graduate
719,Emani Biswas,SUTI,AITC,1,0,2 Crore+,WEST BENGAL,Graduate
720,Rajesh Sambhajirao Pawar,NAIGAON,BJP,2,191 Crore+,32 Crore+,MAHARASHTRA,Graduate Professional
721,Aditya Golay Tamang,SOREONG-CHAKUNG,Sikkim Krantikari Morcha,0,14 Lac+,0,SIKKIM,Graduate
722,Siddaramaiah,VARUNA,INC,13,51 Crore+,23 Crore+,KARNATAKA,Graduate Professional
723,Amrutiya Kantilal Shivlal,MORBI,BJP,0,9 Crore+,3 Crore+,GUJARAT,12th Pass
724,Gopal Chandra Roy,BANAMALIPUR,INC,2,0,11 Lac+,TRIPURA,Graduate Professional
725,Ashutosh Shukla,BHAGWANTNAGAR,BJP,0,8 Crore+,1 Crore+,UTTAR PRADESH,Post Graduate
726,N.Y.Gopalakrishna,MOLAKALMURU (ST),INC,0,6 Crore+,0,KARNATAKA,Post Graduate
727,Pankaj Kumar Mishra,RUNNISAIDPUR,JD(U),0,7 Crore+,51 Lac+,BIHAR,Graduate
728,S R Srinivas (Vasu),GUBBI,INC,1,0,6 Crore+,KARNATAKA,Graduate
729,Sejalben Rajivkumar Pandya,BHAVNAGAR EAST,BJP,0,43 Lac+,0,GUJARAT,Graduate
730,Sanjay Singh,SOHNA,BJP,0,6 Crore+,16 Lac+,HARYANA,Graduate
731,Surendra Ram,GARKHA (SC),RJD,4,1 Crore+,0,BIHAR,Graduate
732,Ishwar Sahu,SAJA,BJP,0,16 Lac+,0,CHHATTISGARH,5th Pass
733,Humayun Kabir,DEBRA,AITC,0,2 Crore+,0,WEST BENGAL,Doctorate
734,Sudip Roy Barman,AGARTALA,INC,3,9 Crore+,38 Lac+,TRIPURA,Graduate Professional
735,Ram Pada Jamatia,BAGMA (ST),BJP,0,1 Crore+,6 Lac+,TRIPURA,12th Pass
736,Rizwan Arshad,SHIVAJINAGAR,INC,4,21 Crore+,7 Crore+,KARNATAKA,Graduate
737,Vikas Gupta,AYAH SHAH,BJP,0,32 Crore+,12 Crore+,UTTAR PRADESH,Post Graduate
738,Manish Asija,FIROZABAD,BJP,0,9 Crore+,99 Lac+,UTTAR PRADESH,Graduate
739,Pratap Grewal,SARDARPUR (ST),INC,0,0,3 Lac+,MADHYA PRADESH,Graduate Professional
740,Ratna Chatterjee,BEHALA PURBA,AITC,5,12 Crore+,6 Crore+,WEST BENGAL,Graduate
741,Chaturi Nand,SARAIPALI (SC),INC,0,55 Lac+,15 Lac+,CHHATTISGARH,Post Graduate
742,Duddukunta Sreedhar Reddy,PUTTAPARTHI,YSRCP,3,68 Crore+,20 Crore+,ANDHRA PRADESH,Graduate
743,Kulwant Singh,S.A.S. NAGAR,AAP,0,0,13 Crore+,PUNJAB,10th Pass
744,Atif Arif Aqueel,BHOPAL UTTAR,INC,0,1 Crore+,0,MADHYA PRADESH,Graduate Professional
745,Dinesh Kumar Chadha,RUPNAGAR,AAP,2,47 Lac+,6 Lac+,PUNJAB,12th Pass
746,Rekha Verma,BIDHUNA,SP,0,13 Crore+,21 Lac+,UTTAR PRADESH,Post Graduate
747,Jayant Raj,AMARPUR,JD(U),0,61 Lac+,8 Lac+,BIHAR,Post Graduate
